Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,24.100000,24.440001,23.200001,23.750999,23.750999,115300
2021-12-03,24.010000,24.120001,21.320999,21.660000,21.660000,161700
2021-12-06,20.910000,21.559999,20.000000,21.236000,21.236000,145400
2021-12-07,22.010000,22.709999,22.010000,22.340000,22.340000,108200
2021-12-08,22.370001,22.680000,22.020000,22.620001,22.620001,59900
2021-12-09,23.410000,23.410000,21.000000,21.090000,21.090000,112600
2021-12-10,21.490000,21.610001,20.549999,20.700001,20.700001,34300
2021-12-13,20.490000,20.490000,19.562000,19.660000,19.660000,79000
2021-12-14,19.430000,19.629999,18.990000,19.240000,19.240000,24600
2021-12-15,19.290001,19.900000,18.510000,19.820000,19.820000,31100
2021-12-16,20.320000,20.320000,18.790001,18.980000,18.980000,122300
2021-12-17,20.000000,20.000000,18.150000,18.740000,18.740000,30000
2021-12-20,18.500000,18.500000,17.905001,18.129000,18.129000,22300
2021-12-21,18.740000,19.118000,18.545000,19.118000,19.118000,11600
2021-12-22,19.219999,19.290001,18.980000,19.052999,19.052999,11800
2021-12-23,19.180000,19.940001,18.860001,19.875000,19.875000,26600
2021-12-27,20.469999,20.469999,20.049999,20.100000,20.100000,35900
2021-12-28,20.000000,20.000000,19.000000,19.020000,19.020000,27600
2021-12-29,19.000000,19.000000,18.334999,18.542999,18.542999,24800
2021-12-30,18.549999,19.010000,18.510000,18.688000,18.688000,32400
2021-12-31,18.879999,18.900000,18.400000,18.400000,18.400000,16400
2022-01-03,18.770000,18.940001,18.400000,18.580000,18.580000,44200
2022-01-04,18.580000,18.700001,17.799999,18.114000,18.114000,52100
2022-01-05,19.000000,19.000000,16.879999,16.889999,16.889999,64700
2022-01-06,16.740000,16.820000,15.920000,16.631001,16.631001,30400
2022-01-07,16.620001,16.844999,16.260000,16.459999,16.459999,24800
2022-01-10,16.090000,16.090000,15.510000,16.038000,16.038000,29900
2022-01-11,16.150000,16.910000,16.110001,16.820000,16.820000,51300
2022-01-12,17.600000,17.600000,16.900000,17.170000,17.170000,37600
2022-01-13,17.559999,17.559999,16.520000,16.528000,16.528000,19800
2022-01-14,16.430000,16.660000,16.325001,16.625000,16.625000,23200
2022-01-18,16.450001,16.450001,15.750000,15.750000,15.750000,23000
2022-01-19,15.720000,16.059999,15.340000,15.340000,15.340000,57900
2022-01-20,15.710000,16.100000,15.200000,15.200000,15.200000,35200
2022-01-21,14.960000,14.960000,13.690000,13.690000,13.690000,51800
2022-01-24,13.000000,13.490000,12.130000,13.490000,13.490000,48200
2022-01-25,13.300000,13.500000,13.010000,13.350000,13.350000,14600
2022-01-26,13.980000,14.260000,13.310000,13.340000,13.340000,71300
2022-01-27,13.810000,13.810000,12.600000,12.651000,12.651000,12900
2022-01-28,12.750000,13.240000,12.400000,13.240000,13.240000,20100
2022-01-31,13.580000,14.409000,13.470000,14.401000,14.401000,22100
2022-02-01,14.810000,15.110000,14.450000,15.020000,15.020000,23900
2022-02-02,16.000000,16.000000,14.110000,14.330000,14.330000,27400
2022-02-03,14.000000,14.130000,13.690000,13.690000,13.690000,10300
2022-02-04,13.800000,14.670000,13.670000,14.563000,14.563000,49000
