"","word","freq","sentRes","color"
"1320","concept ",1,0.4,"#03590C49"
"1321","convict",1,-0.8,"#B3050992"
"1322","cool🗥🗥🗥nnft",1,0.75,"#03590C89"
"1323","copycat",1,-0.8,"#B3050992"
"1324","crap",1,-0.75,"#B3050989"
"1325","crave",1,-0.25,"#B305092E"
"1326","crazy🗥🗥nnto",1,-0.75,"#B3050989"
"1327","creativity🗥",1,1,"#03590CB6"
"1328","curiosity…",1,0.5,"#03590C5B"
"1329","daon️⃣illuminati",1,-0.8,"#B3050992"
"1330","darker",1,-0.6,"#B305096D"
"1331","dawn",1,0.5,"#03590C5B"
"1332","dedicated",1,0.5,"#03590C5B"
"1333","demon🗥nnh",1,-0.5,"#B305095B"
"1334","desirable",1,0.75,"#03590C89"
"1335","disbelief",1,-0.5,"#B305095B"
"1336","discord‼nth",1,-0.75,"#B3050989"
