"","word","freq","sentRes","color"
"895","foremost",2,0.4,"#03590C49"
"896","gem🗥",2,0.5,"#03590C5B"
"897","greater",2,0.5,"#03590C5B"
"898","guard…",2,-0.25,"#B305092E"
"899","gun",2,-0.5,"#B305095B"
"900","happier",2,0.5,"#03590C5B"
"901","instruct",2,0.4,"#03590C49"
"902","lack",2,-0.75,"#B3050989"
"903","leak",2,-0.75,"#B3050989"
"904","momentum",2,0.1,"#03590C12"
"905","mosquito",2,-0.25,"#B305092E"
"906","nn🗥join",2,0.25,"#03590C2E"
"907","opportunity🗥",2,0.5,"#03590C5B"
"908","posh",2,0.6,"#03590C6D"
"909","pray",2,0.1,"#03590C12"
"910","prepared",2,0.5,"#03590C5B"
"911","professional",2,0.8,"#03590C92"
"912","quiet",2,0.25,"#03590C2E"
"913","rage",2,-1,"#B30509B6"
"914","raging",2,-0.5,"#B305095B"
"915","renown",2,0.5,"#03590C5B"
"916","saint",2,0.5,"#03590C5B"
"917","savior",2,1,"#03590CB6"
"918","scream",2,-1,"#B30509B6"
"919","seamless",2,0.6,"#03590C6D"
"920","shatter",2,-0.5,"#B305095B"
"921","sinner",2,-0.5,"#B305095B"
"922","smash",2,-0.75,"#B3050989"
"923","snag",2,-0.5,"#B305095B"
"924","snake",2,-0.25,"#B305092E"
"925","stroke",2,-0.25,"#B305092E"
"926","theft",2,-0.5,"#B305095B"
"927","thief",2,-1,"#B30509B6"
"928","toxic",2,-0.5,"#B305095B"
"929","untold",2,-0.25,"#B305092E"
"930","users🗥n✅solid",2,0.25,"#03590C2E"
"931","utmost",2,0.4,"#03590C49"
"932","violence",2,-0.5,"#B305095B"
"933","virus",2,-0.5,"#B305095B"
"934","wild🗥ncheck",2,-0.25,"#B305092E"
"935","withdraw",2,-0.8,"#B3050992"
"936","wonderful",2,0.75,"#03590C89"
"937","worthless",2,-1,"#B30509B6"
"938","wrath",2,-0.5,"#B305095B"
"939","“nice",2,0.5,"#03590C5B"
"940","…free",2,0.5,"#03590C5B"
"941","⚡️new",2,0.8,"#03590C92"
"942","🇥n🇥arcade",2,0.6,"#03590C6D"
"943","🇥thank",2,0.5,"#03590C5B"
"944","🗥thank",2,0.5,"#03590C5B"
"945","🗥win",2,0.5,"#03590C5B"
"946","🗥🗥burn",2,-0.4,"#B3050949"
"947","🗥🗥🗥limit",2,-0.25,"#B305092E"
"948","🧥thank",2,0.5,"#03590C5B"
"949","🧥🧥🗥🗥🗥🗥n🗥🗥new",2,0.8,"#03590C92"
"950","superman",2,0.8,"#03590C92"
"951","accountant",1,-0.25,"#B305092E"
"952","artist】",1,0.6,"#03590C6D"
"953","artist🂡",1,0.6,"#03590C6D"
"954","artξst",1,0.6,"#03590C6D"
"955","art🂡🂡",1,0.6,"#03590C6D"
"956","assure",1,0.8,"#03590C92"
"957","baby🂡",1,0.6,"#03590C6D"
"958","beg",1,-0.75,"#B3050989"
"959","bland",1,-0.5,"#B305095B"
"960","bloodshot",1,-0.8,"#B3050992"
"961","bored",1,-0.5,"#B305095B"
"962","bother",1,-0.75,"#B3050989"
"963","butler",1,0.4,"#03590C49"
"964","council",1,0.4,"#03590C49"
"965","cryptφnacci",1,-0.8,"#B3050992"
"966","crypt⭕️mi",1,-0.8,"#B3050992"
"967","deadbeat",1,-1,"#B30509B6"
"968","dragoon",1,-0.25,"#B305092E"
"969","dξcrypt€r",1,-0.8,"#B3050992"
"970","forbid",1,-0.75,"#B3050989"
"971","foresight",1,0.5,"#03590C5B"
"972","glee",1,0.75,"#03590C89"
"973","hoarding",1,-0.6,"#B305096D"
"974","hoodlum",1,-0.25,"#B305092E"
"975","immortal",1,0.1,"#03590C12"
"976","jewel",1,0.6,"#03590C6D"
"977","lighter",1,0.4,"#03590C49"
"978","mafia™",1,-0.8,"#B3050992"
"979","nag",1,-0.75,"#B3050989"
"980","nameless",1,-0.25,"#B305092E"
"981","ramón",1,-0.25,"#B305092E"
"982","rash",1,-1,"#B30509B6"
"983","sing💡",1,0.6,"#03590C6D"
"984","sleepless",1,-1,"#B30509B6"
"985","thug",1,-0.5,"#B305095B"
"986","toothless",1,-0.6,"#B305096D"
"987","unstoppable",1,-0.25,"#B305092E"
"988","warp│nft",1,-0.25,"#B305092E"
"989","wins💡",1,0.5,"#03590C5B"
"990","win️⃣️⃣🂡",1,0.5,"#03590C5B"
"991","win💡",1,0.5,"#03590C5B"
"992","wolfé",1,-0.25,"#B305092E"
"993","designer’",1,0.6,"#03590C6D"
"994","lag",1,-0.75,"#B3050989"
"995","absent",1,-0.6,"#B305096D"
"996","absurd",1,-0.75,"#B3050989"
"997","active🖔",1,0.25,"#03590C2E"
"998","active🖔🖔",1,0.25,"#03590C2E"
"999","addict⛏️🆔",1,-1,"#B30509B6"
"1000","adventures",1,0.25,"#03590C2E"
"1001","alert🖔nreward",1,-0.25,"#B305092E"
"1002","alone🖔🆔",1,-0.6,"#B305096D"
"1003","antagonist",1,-0.75,"#B3050989"
"1004","ardent",1,0.75,"#03590C89"
"1005","artistic",1,0.6,"#03590C6D"
"1006","artist♥️🦔🖔🦔❤️n❤️httpstcovtrojhjqn❤️httpstcopuyopanubn❤️httpstcogbsm",1,0.6,"#03590C6D"
"1007","artist⚡️work",1,0.85,"#03590C9B"
"1008","artist✨",1,0.6,"#03590C6D"
"1009","artist｜nft",1,0.6,"#03590C6D"
"1010","artist🆔n🖔",1,0.6,"#03590C6D"
"1011","artist🆔⚜n“if",1,0.6,"#03590C6D"
"1012","artist🆔✏",1,0.6,"#03590C6D"
"1013","artist🆔🖔️nphotograph",1,0.6,"#03590C6D"
"1014","artist🦔🖔",1,0.6,"#03590C6D"
"1015","art🆔nnhttpstcoewiyhfwff",1,0.6,"#03590C6D"
"1016","art🆔n🖔common",1,0.6,"#03590C6D"
"1017","art🆔🆔",1,0.6,"#03590C6D"
"1018","art🖔️cvrsed",1,0.6,"#03590C6D"
"1019","ash",1,-0.4,"#B3050949"
"1020","assassin",1,-0.5,"#B305095B"
"1021","assets",1,0.5,"#03590C5B"
"1022","athletic",1,0.5,"#03590C5B"
"1023","attorney",1,-0.25,"#B305092E"
"1024","avenger",1,0.25,"#03590C2E"
"1025","bad🖔",1,-0.75,"#B3050989"
"1026","bash",1,-0.6,"#B305096D"
"1027","beauty",1,0.5,"#03590C5B"
"1028","beholden",1,-0.4,"#B3050949"
"1029","believer",1,0.6,"#03590C6D"
"1030","best〽️",1,0.5,"#03590C5B"
"1031","betray",1,-0.75,"#B3050989"
"1032","blackout",1,-0.25,"#B305092E"
"1033","blessings🖔",1,0.5,"#03590C5B"
"1034","blur",1,-0.5,"#B305095B"
"1035","boredom",1,-0.5,"#B305095B"
"1036","boy🦔",1,0.25,"#03590C2E"
"1037","building",1,0.1,"#03590C12"
"1038","burned",1,-0.6,"#B305096D"
"1039","burn🖔",1,-0.4,"#B3050949"
"1040","butt",1,-0.25,"#B305092E"
"1041","cancel",1,-0.75,"#B3050989"
"1042","carnal",1,-0.4,"#B3050949"
"1043","chairman",1,0.25,"#03590C2E"
"1044","champ",1,1,"#03590CB6"
"1045","charites🖔join",1,0.25,"#03590C2E"
"1046","chop",1,-0.25,"#B305092E"
"1047","chronic",1,-0.5,"#B305095B"
"1048","clash",1,-0.75,"#B3050989"
"1049","claw",1,-0.6,"#B305096D"
"1050","clever",1,0.75,"#03590C89"
"1051","comfort",1,0.75,"#03590C89"
"1052","community🦔🖔🖔🦔🖔nmintingsoon",1,0.6,"#03590C6D"
"1053","conceal",1,-0.6,"#B305096D"
"1054","content🖔🆔",1,0.6,"#03590C6D"
"1055","contradict",1,-0.5,"#B305095B"
"1056","cool🖔🖔",1,0.75,"#03590C89"
"1057","cough",1,-0.8,"#B3050992"
"1058","counsel",1,0.4,"#03590C49"
"1059","creator🦔",1,0.6,"#03590C6D"
"1060","cryptφrat",1,-1.3,"#B30509ED"
"1061","culture’",1,0.6,"#03590C6D"
"1062","culture🦔",1,0.6,"#03590C6D"
"1063","curriculum",1,-0.25,"#B305092E"
"1064","daemon",1,-0.25,"#B305092E"
"1065","democracy🆔🆔🆔🆔🆔🆔",1,0.4,"#03590C49"
"1066","designer•",1,0.6,"#03590C6D"
"1067","designer…",1,0.6,"#03590C6D"
"1068","designer‼️",1,0.6,"#03590C6D"
"1069","designer🆔",1,0.6,"#03590C6D"
"1070","designer🖔️web",1,0.6,"#03590C6D"
"1071","developer🆔mus",1,-0.25,"#B305092E"
"1072","dhhn🖔join",1,0.25,"#03590C2E"
"1073","diet",1,-0.25,"#B305092E"
"1074","disappear",1,-0.6,"#B305096D"
"1075","discord➡",1,-0.75,"#B3050989"
"1076","discord🖔",1,-0.75,"#B3050989"
"1077","discord🦔httpstcootxucyen",1,-0.75,"#B3050989"
"1078","disgust",1,-1,"#B30509B6"
"1079","dreams",1,0.25,"#03590C2E"
"1080","drown",1,-0.5,"#B305095B"
"1081","drunk",1,-0.5,"#B305095B"
"1082","dust🆔",1,-0.5,"#B305095B"
"1083","enjoy🆔",1,0.75,"#03590C89"
"1084","enthusiast🖔nhey",1,0.5,"#03590C5B"
"1085","err",1,-0.5,"#B305095B"
"1086","favor”",1,0.6,"#03590C6D"
"1087","fee🖔",1,-0.6,"#B305096D"
"1088","fiend",1,-0.5,"#B305095B"
"1089","flying🖔",1,0.1,"#03590C12"
"1090","foundation i",1,0.4,"#03590C49"
"1091","free⛽️❌",1,0.5,"#03590C5B"
"1092","free🆔🆔",1,0.5,"#03590C5B"
"1093","fun🖔",1,0.75,"#03590C89"
"1094","fun🖔🦔",1,0.75,"#03590C89"
"1095","fuse",1,-0.25,"#B305092E"
"1096","fırat",1,-0.5,"#B305095B"
"1097","gang🖔join",1,-0.55,"#B3050964"
"1098","generation",1,0.4,"#03590C49"
